vp,block,trial,type,row,rel,eva,primcol,tarcol,prime,target,response,rt,NA
90,0,1,prac,3,syn,neg,b_neg_2,b_neg_1,ILLEGAL,KRIMINELL,negativ,1.9152369410563324,NA
90,0,2,prac,7,syn,pos,b_pos_1,b_pos_2,GESCHICKT,GEKONNT,positiv,2.4381584238835705,NA
90,0,3,prac,2,syn,neg,a_neg_2,a_neg_1,NASS,REGNERISCH,negativ,1.416157360184569,NA
90,0,4,prac,5,syn,pos,b_pos_1,b_pos_2,GENIAL,BRILLIANT,negativ,0.8949238392111143,NA
90,0,5,prac,4,ant,neg,b_pos_1,b_neg_1,SICHER,GEFÄHRLICH,negativ,0.7922226032387265,NA
90,0,6,prac,0,ant,pos,b_neg_2,b_pos_2,BIEDER,AUFGESCHLOSSEN,negativ,1.426091978620448,NA
90,0,7,prac,6,ant,pos,b_neg_1,b_pos_2,EGOISTISCH,GEMEINSCHAFTLICH,positiv,1.3352393730122294,NA
90,0,8,prac,1,ant,neg,b_pos_1,b_neg_1,LOCKER,ZWANGHAFT,negativ,0.8999518682614437,NA
90,0,9,prac,4,eval,pos,a_pos_1,b_pos_2,NATÜRLICH,BESCHÜTZT,positiv,1.0118968990712425,NA
90,0,10,prac,5,un,neg,a_pos_1,b_neg_2,PRAGMATISCH,IDIOTISCH,negativ,0.6248461091871454,NA
90,0,11,prac,7,un,neg,b_pos_1,a_neg_1,GESCHICKT,ERBARMUNGSLOS,positiv,0.8522375540829662,NA
90,0,12,prac,6,eval,neg,a_neg_1,b_neg_2,VERLOGEN,SELBSTSÜCHTIG,negativ,1.2168950043318143,NA
90,0,13,prac,2,un,pos,b_neg_2,a_pos_2,PHANTASIELOS,HEITER,positiv,0.9593001029747659,NA
90,0,14,prac,3,un,pos,a_neg_1,b_pos_2,SCHLAPP,RESPEKTABEL,positiv,1.0403440888362518,NA
90,0,15,prac,1,eval,pos,b_pos_1,a_pos_1,LOCKER,ENTZÜCKEND,positiv,0.7205878733655388,NA
90,0,16,prac,0,eval,neg,a_neg_1,b_neg_1,UNGENÜGEND,SPIEßIG,negativ,1.1659653390108409,NA
90,0,17,prac,6,ant,neg,a_pos_1,a_neg_2,AUTHENTISCH,UNEHRLICH,positiv,0.8482995857830733,NA
90,0,18,prac,7,eval,pos,a_pos_2,b_pos_1,MENSCHLICH,GESCHICKT,positiv,0.8120776004217238,NA
90,0,19,prac,1,eval,neg,a_neg_1,b_neg_2,ABSTOßEND,PEDANTISCH,negativ,0.9596794622978853,NA
90,0,20,prac,2,syn,pos,b_pos_2,b_pos_1,ERFINDERISCH,INNOVATIV,positiv,0.9102339855098615,NA
90,0,21,prac,0,ant,neg,a_pos_1,a_neg_1,PERFEKT,UNGENÜGEND,negativ,1.174855041800368,NA
90,0,22,prac,3,syn,pos,a_pos_2,a_pos_1,MUNTER,AKTIV,positiv,0.7368883938907889,NA
90,0,23,prac,4,ant,pos,a_neg_1,a_pos_1,ÜBERTRIEBEN,NATÜRLICH,positiv,1.0943375143347684,NA
90,0,24,prac,5,ant,pos,b_neg_2,b_pos_1,IDIOTISCH,GENIAL,positiv,0.8942989052520487,NA
90,0,25,prac,2,un,neg,a_pos_2,b_neg_1,HEITER,IDEENLOS,negativ,1.1507041273813232,NA
90,0,26,prac,7,syn,neg,b_neg_2,b_neg_1,STÜMPERHAFT,TOLLPATSCHIG,negativ,0.9163504219292291,NA
90,0,27,prac,5,syn,neg,a_neg_1,a_neg_2,KOMPLIZIERT,UMSTÄNDLICH,positiv,0.912129703378783,NA
90,0,28,prac,1,un,pos,a_neg_1,b_pos_2,ABSTOßEND,LÄSSIG,positiv,1.2240785110817471,NA
90,0,29,prac,4,eval,neg,b_neg_1,a_neg_1,GEFÄHRLICH,ÜBERTRIEBEN,negativ,1.2098387214285087,NA
90,0,30,prac,3,un,neg,b_pos_2,a_neg_1,RESPEKTABEL,SCHLAPP,negativ,0.9576506805139393,NA
90,0,31,prac,0,un,pos,a_neg_1,b_pos_1,UNGENÜGEND,OFFEN,positiv,1.088793598418279,NA
90,0,32,prac,6,eval,pos,b_pos_2,a_pos_2,GEMEINSCHAFTLICH,ECHT,positiv,0.8912073520346215,NA
90,1,1,warm,6,un,neg,b_pos_2,a_neg_1,GEMEINSCHAFTLICH,VERLOGEN,positiv,0.7192282034840517,NA
90,1,2,warm,2,ant,neg,b_pos_1,b_neg_2,INNOVATIV,PHANTASIELOS,positiv,0.7469554547059085,NA
90,1,3,warm,3,eval,pos,b_pos_2,a_pos_2,RESPEKTABEL,MUNTER,positiv,0.7787382555194003,NA
90,1,4,warm,4,syn,pos,b_pos_2,b_pos_1,BESCHÜTZT,SICHER,negativ,0.8141070165768582,NA
90,1,5,test,14,un,pos,b_neg_1,a_pos_1,UNVERNÜNFTIG,UNKOMPLIZIERT,positiv,1.2382532203280527,NA
90,1,6,test,18,eval,pos,a_pos_2,b_pos_1,GÜTIG,KLUG,positiv,0.9298951201354471,NA
90,1,7,test,0,un,pos,a_neg_1,b_pos_1,SCHLECHT,HARMONISCH,positiv,0.7656537246887823,NA
90,1,8,test,6,un,neg,b_pos_1,a_neg_2,GEBILDET,HOFFNUNGSLOS,negativ,0.7264863938414744,NA
90,1,9,test,25,syn,pos,a_pos_2,a_pos_1,SINNLICH,LEIDENSCHAFTLICH,negativ,0.9003203464088113,NA
90,1,10,test,11,eval,pos,b_pos_2,a_pos_2,HÜBSCH,AUSGEGLICHEN,positiv,1.264617831718973,NA
90,1,11,test,2,ant,neg,b_pos_2,b_neg_1,DISKRET,AUFDRINGLICH,positiv,1.1044599574668288,NA
90,1,12,test,24,ant,neg,b_pos_2,b_neg_2,EDEL,SCHÄBIG,negativ,0.9622388487623569,NA
90,1,13,test,27,syn,neg,b_neg_1,b_neg_2,WANKELMÜTIG,SPRUNGHAFT,negativ,0.9345888298534578,NA
90,1,14,test,8,ant,neg,b_pos_1,b_neg_1,VOLLSTÄNDIG,KAPUTT,negativ,1.1238152377413246,NA
90,1,15,test,10,syn,pos,a_pos_2,a_pos_1,STABIL,BESTÄNDIG,negativ,0.8912258788397438,NA
90,1,16,test,20,eval,neg,a_neg_1,b_neg_1,VERSTOßEN,SCHMUTZIG,positiv,0.8734147619752438,NA
90,1,17,test,9,un,neg,a_pos_1,b_neg_2,MUTIG,UNFEIN,negativ,0.8583944543370541,NA
90,1,18,test,3,un,pos,a_neg_2,b_pos_2,MÄKELIG,GENÜGSAM,positiv,0.758531232438536,NA
90,1,19,test,16,un,neg,b_pos_2,a_neg_1,ORIGINELL,UNHÖFLICH,negativ,1.167319221352319,NA
90,1,20,test,7,un,neg,b_pos_2,a_neg_2,LOYAL,TEILNAHMSLOS,negativ,0.7449660484361503,NA
90,1,21,test,23,syn,neg,a_neg_2,a_neg_1,ABGESTUMPFT,GEFÜHLLOS,negativ,0.9612303639130183,NA
90,1,22,test,5,eval,pos,b_pos_2,a_pos_1,PRÄZISE,FROH,positiv,0.5632378621699762,NA
90,1,23,test,22,ant,neg,b_pos_1,b_neg_1,GEWISSENHAFT,NACHLÄSSIG,negativ,0.7947385324286896,NA
90,1,24,test,13,syn,pos,a_pos_1,a_pos_2,LIEB,NETT,positiv,0.8801356793027113,NA
90,1,25,test,15,ant,pos,a_neg_1,a_pos_1,GEDANKENLOS,EINFÜHLSAM,positiv,0.8320613837505204,NA
90,1,26,test,17,eval,neg,a_neg_1,b_neg_1,AGGRESSIV,EINTÖNIG,negativ,0.8838661789454346,NA
