species,ID,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,N1A1,Torgersen,39.1,18.7,181,3750,male
Adelie,N1A2,Torgersen,39.5,17.4,186,3800,female
Adelie,N2A1,Torgersen,40.3,18,195,3250,female
Adelie,N3A1,Torgersen,36.7,19.3,193,3450,female
Adelie,N3A2,Torgersen,39.3,20.6,190,3650,male
Adelie,N4A1,Torgersen,38.9,17.8,181,3625,female
Adelie,N4A2,Torgersen,39.2,19.6,195,4675,male
Adelie,N7A1,Torgersen,41.1,17.6,182,3200,female
Adelie,N7A2,Torgersen,38.6,21.2,191,3800,male
Adelie,N8A1,Torgersen,34.6,21.1,198,4400,male
Adelie,N8A2,Torgersen,36.6,17.8,185,3700,female
Adelie,N9A1,Torgersen,38.7,19,195,3450,female
Adelie,N9A2,Torgersen,42.5,20.7,197,4500,male
Adelie,N10A1,Torgersen,34.4,18.4,184,3325,female
Adelie,N10A2,Torgersen,46,21.5,194,4200,male
Adelie,N11A1,Biscoe,37.8,18.3,174,3400,female
Adelie,N11A2,Biscoe,37.7,18.7,180,3600,male
Adelie,N12A1,Biscoe,35.9,19.2,189,3800,female
Adelie,N12A2,Biscoe,38.2,18.1,185,3950,male
Adelie,N13A1,Biscoe,38.8,17.2,180,3800,male
Adelie,N13A2,Biscoe,35.3,18.9,187,3800,female
Adelie,N17A1,Biscoe,40.6,18.6,183,3550,male
Adelie,N17A2,Biscoe,40.5,17.9,187,3200,female
Adelie,N18A1,Biscoe,37.9,18.6,172,3150,female
Adelie,N18A2,Biscoe,40.5,18.9,180,3950,male
Adelie,N21A1,Dream,39.5,16.7,178,3250,female
Adelie,N21A2,Dream,37.2,18.1,178,3900,male
Adelie,N22A1,Dream,39.5,17.8,188,3300,female
Adelie,N22A2,Dream,40.9,18.9,184,3900,male
Adelie,N23A1,Dream,36.4,17,195,3325,female
Adelie,N23A2,Dream,39.2,21.1,196,4150,male
Adelie,N24A1,Dream,38.8,20,190,3950,male
Adelie,N24A2,Dream,42.2,18.5,180,3550,female
Adelie,N25A1,Dream,37.6,19.3,181,3300,female
Adelie,N25A2,Dream,39.8,19.1,184,4650,male
Adelie,N26A1,Dream,36.5,18,182,3150,female
Adelie,N26A2,Dream,40.8,18.4,195,3900,male
Adelie,N27A1,Dream,36,18.5,186,3100,female
Adelie,N27A2,Dream,44.1,19.7,196,4400,male
Adelie,N28A1,Dream,37,16.9,185,3000,female
Adelie,N28A2,Dream,39.6,18.8,190,4600,male
Adelie,N29A1,Dream,41.1,19,182,3425,male
Adelie,N30A1,Dream,36,17.9,190,3450,female
Adelie,N30A2,Dream,42.3,21.2,191,4150,male
Adelie,N21A1,Biscoe,39.6,17.7,186,3500,female
Adelie,N21A2,Biscoe,40.1,18.9,188,4300,male
Adelie,N22A1,Biscoe,35,17.9,190,3450,female
Adelie,N22A2,Biscoe,42,19.5,200,4050,male
Adelie,N23A1,Biscoe,34.5,18.1,187,2900,female
Adelie,N23A2,Biscoe,41.4,18.6,191,3700,male
Adelie,N24A1,Biscoe,39,17.5,186,3550,female
Adelie,N24A2,Biscoe,40.6,18.8,193,3800,male
Adelie,N25A1,Biscoe,36.5,16.6,181,2850,female
Adelie,N25A2,Biscoe,37.6,19.1,194,3750,male
Adelie,N27A1,Biscoe,35.7,16.9,185,3150,female
Adelie,N27A2,Biscoe,41.3,21.1,195,4400,male
Adelie,N28A1,Biscoe,37.6,17,185,3600,female
Adelie,N28A2,Biscoe,41.1,18.2,192,4050,male
Adelie,N29A1,Biscoe,36.4,17.1,184,2850,female
